,Am II -A,Am II -B,Am II -C,Am II -D,Solvent,Am I - BS,Am I - RC,Am I - AH,Am I - BT
MeOH: 5%,1504.184270421845,1523.1361712970352,1545.2002466988383,1566.3378670932761,1615.0000000000002,1629.8076256136471,1652.7391724055637,1676.2011684064203,1695.6265858610159
MeOH: 10%,1504.2533541906412,1523.21843880284,1545.3494457424852,1566.5262011415182,1615.0000000000002,1629.7812526854116,1652.7154607165837,1676.1678258852412,1695.4966643940634
MeOH: 20%,1504.218770821745,1523.1015006359085,1545.4124324477916,1566.8117090089481,1615.0000000000002,1629.8766031429204,1652.7927695069716,1676.2502561217032,1695.3164861363268
MeOH: 30%,1504.1104457060846,1522.925898578344,1545.3452551319208,1566.8755707215132,1615.0000000000002,1629.9616300768228,1652.872921875816,1676.3562219552473,1695.2652545605918
MeOH: 40%,1503.9360316647778,1522.71592761757,1545.2516565388778,1566.9123491659932,1615.0000000000002,1630.0249866499028,1652.89187222795,1676.366936728798,1695.174380219634
MeOH: 50%,1503.8660248231406,1522.6111840954752,1545.2240151017631,1566.9825140625958,1615.0000000000002,1630.084736105566,1652.9370654426734,1676.4251871775125,1695.1289993881228
MeOH: 60%,1510.986370667922,1532.9244366704686,1555.0939352856894,1576.1139965690354,1619.9999999999998,1637.7048531385908,1657.4514514118957,1680.224097685156,1697.0121663090235
MeOH: 70%,1512.6413832996063,1535.1177043977289,1557.55198458748,1579.5232049113918,1619.9999999999998,1641.4301040585735,1661.1239533566668,1682.2010478151624,1697.3769085065721
MeOH: 80%,1513.7995027634781,1536.4137429982438,1558.8327340977344,1581.1413223272968,1619.9999999999998,1642.5099299493775,1662.5876282310726,1683.024817911326,1697.56448049685
MeOH: 90%,1514.7317396999338,1537.1784995848739,1559.4122826008381,1581.2330261607103,1619.9999999999998,1644.1160599200716,1664.276349707323,1684.1020511810189,1698.1888196580983
MeOH: 95%,1515.2571293079516,1537.2645042251083,1559.3739468682472,1581.0839909815354,1619.9999999999998,1645.740500851304,1665.9976196432895,1685.0725687345516,1698.9264232883997
WA45: 5%,1495.6459620668286,1518.336552049683,1539.641766446958,1560.6318838655698,1615.0000000000002,1628.4450380032158,1653.1743974769058,1674.9782103866692,1696.7372089407427
WA45: 10%,1495.6226175571962,1518.667821662543,1539.9939608732907,1561.03830257156,1615.0000000000002,1628.31938483879,1652.8087506333288,1674.3246362450247,1696.1588620748278
WA45: 20%,1495.4565294638523,1518.9697969933486,1540.3684496389292,1561.5181554413232,1615.0000000000002,1628.199856385426,1652.518238298153,1673.9207728450995,1695.7671429369188
WA45: 30%,1495.3298295235486,1519.1108966954475,1540.5629756665298,1561.7852809723995,1615.0000000000002,1628.1405958602347,1652.382088246095,1673.7417619683479,1695.5830059471632
WA45: 40%,1495.3032079258783,1519.4010642830815,1540.902314662759,1562.1867094270929,1615.0000000000002,1628.0672021989747,1652.2074717264309,1673.5115865142488,1695.3640402965427
WA45: 50%,1495.2332533125261,1519.6278161285368,1541.190052119803,1562.536407135399,1615.0000000000002,1628.010022393037,1652.043107573725,1673.2791019995,1695.1307792485088
WA45: 60%,1495.2683580191303,1520.0617589376602,1541.6639767938796,1563.0619629555133,1615.0000000000002,1627.8865157064,1651.7757345469392,1672.8970564255237,1694.790983990533
WA45: 70%,1495.3193812673924,1520.375029378095,1542.0073936345907,1563.4413994914476,1615.0000000000002,1627.7883723119842,1651.595183289764,1672.683929746554,1694.6058490183927
WA45: 80%,1495.5575145664216,1520.6932312614201,1542.3336903953898,1563.7666821837865,1615.0000000000002,1627.720852425027,1651.4386691149484,1672.4653516285118,1694.3998089713962
WA45: 90%,1496.131994024445,1521.2208021293538,1542.8386516614594,1564.2808747036015,1615.0000000000002,1627.7220697356856,1651.445618458529,1672.4992770756865,1694.3335728888524
WA45: 95%,1497.056532329144,1521.7450554663137,1543.322096466621,1564.7437491329742,1615.0000000000002,1627.7687024040233,1651.4905533543001,1672.599964861521,1694.3381271000496
