,BT II,RC II,BS II,AH II,Correction,BS I,RC I,AH I,BT I
MeOH: 40%,1490.5631178870347,1514.5738830429261,1537.5682910339685,1559.5349410581077,1588.5305777261492,1623.4882283973668,1646.1316934148801,1668.7534225740014,1690.945449804744
MeOH: 50%,1490.2902313964457,1514.5870643856754,1537.6107972038833,1559.5980084237933,1588.6293315701869,1623.3744402022426,1646.046253194611,1668.6462734942081,1690.771800264311
MeOH: 60%,1489.9868488968884,1514.7225683457239,1537.7688963392227,1559.761516965159,1588.7825848102766,1623.2776899715939,1645.978753147996,1668.5083713121305,1690.5042505461897
MeOH: 70%,1510.7164670347568,1531.1268792059943,1552.1973689754282,1571.8200833168098,1619.9999999999998,1630.9568939269716,1654.030453572655,1677.4332076713774,1695.2625958672693
MeOH: 80%,1513.799244925064,1536.413237934295,1558.8320543962163,1581.1400916696577,1619.9999999999998,1642.5083791325214,1662.5842680005355,1683.023610574709,1697.5644244765344
MeOH: 90%,1514.7317114359105,1537.1784422703988,1559.4121937930931,1581.232858172993,1619.9999999999998,1644.115896328402,1664.2759948728537,1684.1018502315058,1698.1887984585362
MeOH: 95%,1515.2571815943359,1537.2646027555186,1559.3740858242938,1581.0842517380572,1619.9999999999998,1645.7411234465233,1665.9989815936055,1685.0733134831223,1698.926514041052
WA45: 5%,1491.152263226889,1516.2083132917317,1537.2971462679932,1557.7031517974272,1595.2088631146294,1628.1480910985595,1653.2662685201287,1674.7879211758502,1696.9341659164206
WA45: 10%,1506.8017829509608,1523.745836961294,1542.222840968797,1560.858421582164,1603.2122555706167,1627.645444286572,1651.8037669071664,1672.2077479369823,1693.774549627464
WA45: 20%,1511.4341064862433,1530.1379867344176,1548.4815197053767,1565.282109944069,1606.0471678558608,1627.0357101737372,1649.948269511721,1669.380393710596,1691.057763248802
WA45: 30%,1512.0956194002856,1531.0940869987382,1549.7862299468359,1566.8310392516248,1606.3285333530066,1626.840919842676,1649.401572772088,1668.5792847789962,1690.284899403721
WA45: 40%,1489.9682162351771,1516.596351556621,1537.521356716029,1558.0001466510137,1594.5313409632913,1627.4485143152965,1651.8481603936057,1672.638899471269,1695.1459331647889
WA45: 50%,1509.4400123744663,1526.8422379381034,1545.2316925170196,1563.2427557655744,1600.614476162795,1627.1812344183709,1651.079979139726,1671.2006887531008,1692.6410904154995
WA45: 60%,1511.7670303124396,1530.0228126081565,1548.6450931141067,1566.287972636835,1602.1941990189164,1626.7517743421145,1649.8247799338376,1669.4057322353794,1691.0434434833874
WA45: 70%,1489.4711146866491,1517.117116864255,1537.9566755934657,1558.4669967219359,1594.0161318384412,1626.9623499287022,1650.9254386461332,1671.3227714482111,1694.0116417923005
WA45: 80%,1489.4413471773892,1517.269268870547,1538.0634697498804,1558.5660504362268,1593.9748782173303,1626.847481712319,1650.6824316232817,1670.9655978051978,1693.6922809315306
WA45: 90%,1489.541605239933,1517.5899428931282,1538.3480511376545,1558.8824704466024,1594.2593472737426,1626.7101280522718,1650.3911926935316,1670.5594644653113,1693.26499352874
WA45: 95%,1489.7598593375699,1517.9095331365224,1538.6533415037957,1559.2042603648658,1594.6093230699673,1626.68701033741,1650.2750642059402,1670.426164720208,1693.0689143340333
