,Am II -A,Am II -B,Am II -C,Am II -D,Solvent,Am I - BS,Am I - RC,Am I - AH,Am I - BT
MeOH: 40%,1490.5631178419583,1514.5738830360451,1537.5682910449566,1559.5349410872095,1588.530577833869,1623.4882284216499,1646.1316934426181,1668.7534226094126,1690.9454498435919
MeOH: 50%,1490.290231359535,1514.5870643593362,1537.6107971779036,1559.5980084082094,1588.6293315446273,1623.3744402033556,1646.046253209096,1668.6462735213179,1690.7718002790025
MeOH: 60%,1489.9868489011892,1514.722568346116,1537.7688963401918,1559.7615169738083,1588.7825848592395,1623.277689975294,1645.9787531430984,1668.5083713055642,1690.5042505398364
MeOH: 70%,1510.7164670436875,1531.1268791826403,1552.1973689286563,1571.820083267964,1619.9999999999998,1630.9568940642232,1654.0304537181519,1677.433207872601,1695.2625960345356
MeOH: 80%,1513.7994834310543,1536.4137294747475,1558.8327296592781,1581.1413061900796,1619.9999999999998,1642.50952163071,1662.5865117718922,1683.0247230096002,1697.5647064288003
MeOH: 90%,1514.7317258667952,1537.1784926992973,1559.4122720912897,1581.2329872594887,1619.9999999999998,1644.1159534097171,1664.275975260678,1684.1019941956758,1698.1889553851427
MeOH: 95%,1515.257189711027,1537.264599099273,1559.3740768585346,1581.0842439400108,1619.9999999999998,1645.7411334262338,1665.999111393246,1685.0733314323572,1698.9264269038347
WA45: 5%,1491.1523126173433,1516.2083409904478,1537.2971748987245,1557.7031791884826,1595.2089409708842,1628.1481020945423,1653.2662930256226,1674.7879752887757,1696.9342132288282
WA45: 10%,1506.7996653483444,1523.7442476885885,1542.2221918054306,1560.8581938085172,1603.21262466608,1627.6455263850885,1651.8039549479206,1672.2081767278803,1693.7750553237456
WA45: 20%,1511.73970645221,1530.6436220956464,1549.180085963548,1566.0827294520989,1606.8075106321162,1626.9794886830277,1649.6662653370192,1668.9587896765395,1690.6764287460765
WA45: 30%,1512.0955299998193,1531.0939000224655,1549.785954907781,1566.8310039114438,1606.3285411494612,1626.8409259782998,1649.4015857299055,1668.5793170149648,1690.284932303168
WA45: 40%,1489.9682160121433,1516.5963514343164,1537.5213565948832,1558.0001465444398,1594.5313406222078,1627.4485142554793,1651.8481602533811,1672.6388991650533,1695.1459329591328
WA45: 50%,1508.058063462188,1525.3189353531552,1543.9627976912668,1562.318987988592,1599.374346964153,1627.297138806006,1651.425209765647,1671.6301031548967,1693.0064784645513
WA45: 60%,1511.7670349039618,1530.0228194158972,1548.6451014603008,1566.2879808492944,1602.1942033166492,1626.75177308727,1649.8247764733997,1669.405726734241,1691.0434377376375
WA45: 70%,1507.5869957334826,1524.886598050322,1543.7021056018007,1562.26293418521,1598.144073026162,1627.1069246768907,1651.2335782920209,1671.5743361018367,1693.0357767698672
WA45: 80%,1489.4413472370463,1517.2692688815707,1538.0634696997067,1558.5660503876393,1593.9748784258445,1626.8474817936428,1650.6824318956346,1670.9655984652632,1693.6922814040465
WA45: 90%,1489.5416049506707,1517.5899427408071,1538.3480510312756,1558.8824703623814,1594.25934690381,1626.7101279730246,1650.3911924703004,1670.559463958868,1693.264993160865
WA45: 95%,1489.759949625988,1517.9095604658517,1538.6533080023453,1559.204195030002,1594.609230261727,1626.6869903934858,1650.275047432205,1670.4261938291604,1693.068850995797
