,BT II,RC II,BS II,AH II,Correction,BS I,RC I,AH I,BT I
MeOH: 90%,1514.731701073959,1537.1784360451422,1559.4121948306893,1581.2328830953807,1619.9999999999998,1644.1161752454498,1664.2764258440236,1684.1021155104327,1698.1888015875948
MeOH: 95%,1515.2572064501346,1537.264632798573,1559.374123895169,1581.0843265197716,1619.9999999999998,1645.7412856833746,1665.9994970398625,1685.0734798907395,1698.9264238425603
WA45: 5%,1491.1522888760721,1516.2083286065904,1537.2971627175968,1557.7031680351456,1595.2089070987367,1628.1480973914906,1653.266282205752,1674.7879512594104,1696.9341940771367
WA45: 10%,1506.770895774941,1523.710912961288,1542.197482475072,1560.8436827023488,1603.1820778445904,1627.6470304725747,1651.8097523822162,1672.216684919341,1693.7831958165193
WA45: 20%,1490.3614754298012,1516.3839182157094,1537.3498071620832,1557.785977845696,1594.735438438413,1627.7362177969994,1652.3982843245838,1673.3999460112325,1695.7925762217149
WA45: 30%,1512.0957289774547,1531.0942931162049,1549.7866374558746,1566.8311151647642,1606.3285328999402,1626.8409401763772,1649.4014992264238,1668.5793261043166,1690.2848710358037
WA45: 40%,1489.9682165127376,1516.5963517033776,1537.5213568562538,1558.000146781798,1594.5313413993235,1627.4485143931918,1651.8481605901895,1672.6388998876312,1695.14593348984
WA45: 50%,1489.8200029544628,1516.7358340623714,1537.6498471767559,1558.1355057900964,1594.4456185547167,1627.321160697198,1651.5741763499827,1672.2355098467979,1694.7862625831583
WA45: 60%,1511.7670339423503,1530.022817750078,1548.6450993041467,1566.2879783609578,1602.1942012466689,1626.7517732284302,1649.8247770096323,1669.40572825468,1691.0434398056718
WA45: 70%,1489.4709447988232,1517.1170264171722,1537.956609637205,1558.466951994521,1594.015964509688,1626.9623150147772,1650.925336922424,1671.3225339756373,1694.0115034487387
WA45: 80%,1489.4413472182785,1517.2692688980928,1538.06346978576,1558.5660504792286,1593.9748783651514,1626.8474817517742,1650.6824317337635,1670.9655980547984,1693.6922811706293
WA45: 90%,1489.54160530468,1517.5899429254664,1538.3480511414525,1558.8824704228452,1594.2593472030328,1626.7101280321785,1650.3911926461174,1670.5594643686277,1693.2649933823404
WA45: 95%,1489.7599492886616,1517.9095603245175,1538.653308001568,1559.2041951048532,1594.6092302563932,1626.6869903923807,1650.275047354887,1670.4261935273892,1693.0688509445426
